sourceid-year-oa,source_id,journal_name,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
12939_2017_hybrid,12939,Joule,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,1.333333333,5000,6666.666667
16224_2016_hybrid,16224,Lancet Haematology,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,5000,5000
5134_2017_hybrid,5134,Cochrane Database of Systematic Reviews,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,5000,5000
12939_2017_hybrid,12939,Joule,Elsevier,2017,hybrid,NATURAL SCIENCES,0.666666667,5000,3333.333333
16219_2017_hybrid,16219,Lancet,Elsevier,2017,hybrid,NATURAL SCIENCES,0.5,5000,2500
8250_2017_hybrid,8250,Expert Opinion on Investigational Drugs,Taylor & Francis,2017,hybrid,MEDICAL AND HEALTH SCIENCES,3,4800,14400
8253_2016_hybrid,8253,Expert Opinion on Therapeutic Patents,Taylor & Francis,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,4800,9600
8249_2016_hybrid,8249,Expert Opinion on Emerging Drugs,Taylor & Francis,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,4800,4800
8250_2016_hybrid,8250,Expert Opinion on Investigational Drugs,Taylor & Francis,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,4800,4800
16223_2015_gold,16223,Lancet Global Health,Elsevier,2015,gold,MEDICAL AND HEALTH SCIENCES,56,4750,266000
1580_2017_hybrid,1580,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,Wiley,2017,hybrid,NATURAL SCIENCES,236,4500,1062000
1580_2018_hybrid,1580,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,Wiley,2018,hybrid,NATURAL SCIENCES,216,4500,972000
6576_2018_hybrid,6576,DIABETES OBESITY & METABOLISM,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,131,4500,589500
556_2016_gold,556,Advanced Science,Wiley,2016,gold,ENGINEERING AND TECHNOLOGY,99.33333333,4500,447000
17707_2017_hybrid,17707,Molecular Ecology,Wiley,2017,hybrid,NATURAL SCIENCES,76,4500,342000
556_2015_gold,556,Advanced Science,Wiley,2015,gold,ENGINEERING AND TECHNOLOGY,76,4500,342000
6576_2017_hybrid,6576,DIABETES OBESITY & METABOLISM,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,60,4500,270000
17707_2016_hybrid,17707,Molecular Ecology,Wiley,2016,hybrid,NATURAL SCIENCES,56,4500,252000
9223_2017_hybrid,9223,Global Change Biology,Wiley,2017,hybrid,NATURAL SCIENCES,53,4500,238500
6576_2016_hybrid,6576,DIABETES OBESITY & METABOLISM,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,51,4500,229500
556_2016_gold,556,Advanced Science,Wiley,2016,gold,NATURAL SCIENCES,49.66666667,4500,223500
9825_2016_hybrid,9825,Human Brain Mapping,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,43,4500,193500
9825_2017_hybrid,9825,Human Brain Mapping,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,40,4500,180000
2440_2018_hybrid,2440,Arthritis & Rheumatology,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,39,4500,175500
17729_2016_hybrid,17729,Molecular Microbiology,Wiley,2016,hybrid,NATURAL SCIENCES,39,4500,175500
2440_2017_hybrid,2440,Arthritis & Rheumatology,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,38,4500,171000
9223_2016_hybrid,9223,Global Change Biology,Wiley,2016,hybrid,NATURAL SCIENCES,38,4500,171000
